Folge,Titel,Sender,Erstausstrahlung,Ermittler,Fall,Autor,Regie,Besonderheiten
477,Verhängnisvolle Begierde,MDR,2001-08-26,Ehrlicher und Kain,27,Pim Richter,Michael Lähn,
478,Du hast keine Chance,SR,2001-09-02,Palu(Gastauftritt Bienzle),12,Felix Huby,Hartmut Griesmayr,
479,Bienzle und der Todesschrei,SWR,2001-09-09,Bienzle,14,Hartmut Griesmayr,Hartmut Griesmayr,
480,Havarie,HR,2001-09-16,Brinkmann,28,Sylvia Hoffman,Sylvia Hoffman,Letzter Fall dieses Ermittlers.
481,Zielscheibe,SR,2001-10-14,Palu,13,Peter Zingler,Robert Sigl,
482,Kalte Wut,Radio Bremen,2001-10-21,Lürsen,5,Thorsten Näter,Thorsten Näter,
483,Exil!,NDR,2001-10-28,Casstorff und Holicek,1,"Thomas Bohn, Chris Brohm (Vorlage)",Thomas Bohn,
484,Im freien Fall,BR,2001-11-04,Batic und Leitmayr,29,Alexander Adolph,Jobst Oetzmann,Adolf-Grimme-Preis 2002
485,Eine unscheinbare Frau,Radio Bremen,2001-11-11,Lürsen und Stedefreund,6,Jochen Greve,Martin Gies,
486,Hasard!,NDR,2001-11-18,Casstorff und Holicek,2,Thomas Bohn,Thomas Bohn,
487,Bestien,WDR,2001-11-25,Ballauf und Schenk,18,Norbert Ehry,Kaspar Heidelbach,
488,Gewaltfieber,SWR,2001-12-02,Odenthal und Kopper,24,Fred Breinersdorfer,Martin Eigler,Günter-Strack-Fernsehpreis 2002 an Matthias Schweighöfer
489,Und dahinter liegt New York,BR,2001-12-23,Batic und Leitmayr,30,Friedrich Ani,Friedemann Fromm,
490,Schrott und Totschlag,SWR,2002-01-06,Odenthal und Kopper,25,Dorothee Schön,Jürgen Bretzinger,
491,Todesfahrt,MDR,2002-01-20,Ehrlicher und Kain,28,Christian Limmer,Udo Witte,
492,Wolf im Schafspelz,BR,2002-02-24,Batic und Leitmayr,31,Stefanie Kremser,Filippos Tsitos,
493,Schützlinge,WDR,2002-03-03,Ballauf und Schenk,19,"Sönke Lars Neuwöhner, Sven Poser",Martin Eigler,
494,Bienzle und der Tag der Rache,SWR,2002-03-10,Bienzle,15,Felix Huby,Konrad Sabrautzky,
495,Zahltag,SFB,2002-03-24,Ritter und Stark,10,Pim Richter,Peter F. Bringmann,
496,Lastrumer Mischung,NDR,2002-04-07,Lindholm,1,"Volkmar Nebe, T.U. Hemjeoltmanns",Thomas Jauch,
497,Tödliche Tagung,ORF,2002-04-14,Eisner,7,Lukas Alexander,Robert Adrian Pejo,
498,Oskar,HR,2002-04-21,Dellwo und Sänger,1,Nikolaus Stein von Kamienski,Nikolaus Stein von Kamienski,
499,Schlaraffenland,SWR,2002-04-28,Blum,1,Stefan Dähnert,Nina Grosse,
500,Endspiel,Radio Bremen,2002-05-20,Lürsen und Stedefreund,7,Britta Stöckle,Ciro Cappellari,
501,Der Passagier,NDR,2002-06-02,Casstorff und Holicek,3,Thomas Bohn,Thomas Bohn,
502,"Schlaf, Kindlein, schlaf",WDR,2002-06-16,Ballauf und Schenk,20,"Jan Hinter, Stefan Cantz",Peter Fratzscher,
503,Heiße Grüße aus Prag,MDR,2002-07-07,Ehrlicher und Kain,29,Horst Freund,Sylvia Hoffman,
504,Elvis lebt!,ORF,2002-07-11,Eisner,8,Felix Mitterer,Peter Sämann,Erstausstrahlung am 2. Dezember 2001 auf ORF 2. Erstsendung als Tatort auf Das Erste an einem Donnerstag. Erst nach der Erstausstrahlung zum Tatort umgewidmet.[16]
505,Bienzle und der süße Tod,SWR,2002-07-14,Bienzle,16,"Felix Huby, Zoran Solomun",Arend Agthe,
506,Schatten,Radio Bremen,2002-07-28,Lürsen und Stedefreund,8,Thorsten Näter,Thorsten Näter,Nominiert für den Adolf-Grimme-Preis und den Fernsehfilmpreis der Deutschen Akademie der Darstellenden Künste
507,Flashback,SWR,2002-08-11,Odenthal und Kopper,26,"Martin Pristl, Johannes W. Betz",Matthias Glasner,
508,Filmriss,SFB,2002-08-18,Ritter und Stark,11,Horst Freund,Ralph Bohn,
509,Verrat,WDR,2002-09-01,Ballauf und Schenk,21,Horst Vocks,Hans Noever,
510,Totentanz,BR,2002-10-13,Batic und Leitmayr,32,Klaus Bädekerl,Thomas Freundner,
511,Der dunkle Fleck,WDR,2002-10-20,Thiel und Boerne,1,"Stefan Cantz, Jan Hinter",Peter F. Bringmann,
512,Undercover,NDR,2002-10-27,Casstorff und Holicek,4,Thomas Bohn,Thomas Bohn,
513,1000 Tode,SWR,2002-11-03,Blum,2,Dorothee Schön,Jobst Oetzmann,Deutscher Kamerapreis 2003 (Fernsehfilm) an Jürgen Carle
514,Rückspiel,WDR/MDR,2002-11-10,Ballauf und Schenk /Ehrlicher und Kain,22 /30,Wolfgang Panzer,Kaspar Heidelbach,
515,Der Fremdwohner,BR,2002-11-17,Batic und Leitmayr,33,Markus Fenner,Peter Fratzscher,
516,Alibi für Amelie,SR,2002-11-24,Palu,14,Felix Huby,Hans-Christoph Blumenberg,Gastauftritt von Fernsehkoch Vincent Klink
517,"Fakten, Fakten …",WDR,2002-12-01,Thiel und Boerne,2,Wolfgang Panzer,Susanne Zanke,
518,Zartbitterschokolade,SFB,2002-12-15,Ritter und Stark,12,Gerhard J. Rekel,Erhard Riedlsperger,
519,Time-Out,SF,2002-12-22,von Burg und Gertsch,9,"Peter Purtschert, Stefan Witschi",Bernhard Giger,Erstausstrahlung in Österreich und der Schweiz bereits am 23. September 2001. Letzter Fall dieses Ermittlerteams.
520,Reise ins Nichts,SR,2002-12-29,Palu,15,"Peter Zingler, Hartmut Griesmayr, Ute Geber",Hartmut Griesmayr,
521,Romeo und Julia,SWR,2003-01-05,Odenthal und Kopper,27,Harald Göckeritz,Nicole Weegmann,Günter-Strack-Fernsehpreis 2003 an Denis Moschitto
522,Rotkäppchen,MDR,2003-01-12,Ehrlicher und Kain,31,Fred Breinersdorfer,Hajo Gies,
523,Stiller Tod,SWR,2003-01-26,Blum,3,"Martina Brand, Dorothee Schön",Richard Huber,
524,Die Liebe und ihr Preis,SFB,2003-02-09,Ritter und Stark,13,Andreas Pflüger,Erhard Riedlsperger,Gastauftritte von Bernd Schiphorst und Jürgen Fliege
525,Bienzle und der Tod im Teig,SWR,2003-03-02,Bienzle,17,Felix Huby,Hartmut Griesmayr,Gastauftritt von Justizminister Ulrich Goll
526,Frauenmorde,HR,2003-03-09,Dellwo und Sänger,2,Nikolaus Stein von Kamienski,Nikolaus Stein von Kamienski,
527,Mutterliebe,WDR,2003-03-23,Ballauf und Schenk,23,"Züli Aladağ, Feo Aladag",Züli Aladağ,
528,Schöner sterben,SWR,2003-03-30,Odenthal und Kopper,28,Daniel Martin Eckhart,Didi Danquart,
529,Hexentanz,NDR,2003-04-13,Lindholm,2,Markus Stromiedel,René Heisig,
530,Der Prügelknabe,BR,2003-04-21,Batic und Leitmayr,34,Christian Limmer,Thomas Jauch,
531,Schattenlos,WDR,2003-04-27,Ballauf und Schenk,24,Thomas Stiller,Thomas Stiller,
532,Außer Kontrolle,MDR,2003-05-11,Ehrlicher und Kain,32,Stefan Kolditz,Olaf Kreinsen,
533,Der schwarze Troll,Radio Bremen,2003-05-25,Lürsen und Stedefreund,9,Thea Dorn,Vanessa Jopp,
534,Harte Hunde,NDR,2003-06-01,Casstorff und Holicek,5,Thomas Bohn,Thomas Bohn,
535,Das Phantom,WDR,2003-06-09,Ballauf und Schenk,25,Norbert Ehry,Kaspar Heidelbach,
536,Tödliche Souvenirs,ORF,2003-06-22,Eisner,9,Felix Mitterer,Peter Sämann,Erstausstrahlung am 22. Dezember 2002 auf ORF 2. Erst nach der Erstausstrahlung zum Tatort umgewidmet.[16]
537,Rosenholz,RBB,2003-07-06,Ritter und Stark,14,Pim Richter,Peter Ristau,Gastauftritt von Marianne Birthler
538,Bienzle und der Taximord,SWR,2003-08-03,Bienzle,18,Felix Huby,Hans-Christoph Blumenberg,
539,Leyla,SWR,2003-08-31,Odenthal und Kopper,29,Harald Göckeritz,Martin Weinhart,Marler Medienpreis Menschenrechte 2005
540,Bermuda,WDR,2003-09-14,Ballauf und Schenk,26,"Scarlett Kleint, Roswitha Seidel",Manfred Stelzer,
541,Mietsache,NDR,2003-10-05,Casstorff und Holicek,6,"Brigitte Drodtloof, Thomas Bohn",Daniel Helfer,
542,Wenn Frauen Austern essen,BR,2003-10-12,Batic und Leitmayr,35,Peter Probst,Klaus Emmerich,
543,Dreimal schwarzer Kater,WDR,2003-10-19,Thiel und Boerne,3,"Jan Hinter, Stefan Cantz",Buddy Giovinazzo,
544,Dschungelbrüder,RBB,2003-10-26,Ritter und Stark,15,Lars Becker,Lars Becker,
545,Sonne und Sturm,NDR,2003-11-02,Lindholm,3,Fred Breinersdorfer,Thomas Jauch,
546,Atlantis,MDR,2003-11-09,Ehrlicher und Kain,33,"Pim Richter, Daniela Mohr",Hajo Gies,
547,Die Liebe der Schlachter,Radio Bremen,2003-11-16,Lürsen und Stedefreund,10,Jochen Greve,Thomas Jauch,
548,Im Visier,BR,2003-11-23,Batic und Leitmayr,36,"Peter Fratzscher, Sabine Bühring",Peter Fratzscher,Günter-Strack-Fernsehpreis 2004 an Vinzenz Kiefer
549,Väter,NDR,2003-11-30,Borowski und Jung,1,Orkun Ertener,Thomas Freundner,
550,Der Schächter,SWR,2003-12-07,Blum,4,Fred Breinersdorfer,Jobst Oetzmann,
551,Sag nichts,WDR,2003-12-14,Thiel und Boerne,4,Hans Christian Laaber,Lars Kraume,
552,Das Böse,HR,2003-12-21,Dellwo und Sänger,3,Nikolaus Stein von Kamienski,Nikolaus Stein von Kamienski,Deutscher Fernsehpreis 2004 (Bester Schauspieler Fernsehfilm) an Ulrich Tukur
553,Veras Waffen,SR,2003-12-28,Palu,16,Hans-Christoph Blumenberg,Hans-Christoph Blumenberg,
554,Eine ehrliche Haut,RBB,2004-01-04,Ritter und Stark,16,Ralph Bohn,Ralph Bohn,"Gastauftritte von Sabine Christiansen, Laurenz Meyer und Rezzo Schlauch"
555,Bitteres Brot,SWR,2004-01-18,Blum und Perlmann,5,Dorothee Schön,Jürgen Bretzinger,Erste Folge mit Sebastian Bezzel als Kai Perlmann
556,Todes-Bande,NDR,2004-01-25,Casstorff und Holicek,7,Thomas Bohn,Thomas Bohn,
557,Waidmanns Heil,MDR,2004-02-01,Ehrlicher und Kain,34,Andreas Pflüger,Peter F. Bringmann,
558,Große Liebe,SWR,2004-02-22,Odenthal und Kopper,30,Daniel Martin Eckhart,Manuel Siebenmann,
559,Heimspiel,NDR,2004-02-29,Lindholm,4,Orkun Ertener,Thomas Jauch,Eine der wenigen Folgen ohne Todesfall.
560,Tod unter der Orgel,ORF,2004-03-14,Eisner,10,Alrun Fichtenbauer,Walter Bannert,
561,Schichtwechsel,NDR,2004-03-28,Borowski und Jung,2,Jan von der Bank,Christine Hartmann,
562,Abschaum,Radio Bremen,2004-04-04,Lürsen und Stedefreund,11,Thorsten Näter,Thorsten Näter,
563,Hundeleben,WDR,2004-04-12,Ballauf und Schenk,27,Nina Hoger,Manfred Stelzer,
564,Janus,HR,2004-04-18,Dellwo und Sänger,4,Klaus-Peter Wolf,Klaus Gietinger,Günter-Strack-Fernsehpreis 2004 an Nadja Bobyleva
565,Mörderspiele,WDR,2004-04-25,Thiel und Boerne,5,Stephan Meyer,Stephan Meyer,
566,Sechs zum Essen,BR,2004-05-02,Batic und Leitmayr,37,Stefanie Kremser,Filippos Tsitos,Gastauftritt von Monika Gruber
567,Der vierte Mann,RBB,2004-05-09,Ritter und Stark,17,Hartmann Schmige,Hannu Salonen,
568,Abgezockt,SWR,2004-05-16,Odenthal und Kopper,31,Klaus-Peter Wolf,Christoph Stark,
569,Odins Rache,WDR,2004-07-11,Ballauf und Schenk,28,Hannes Stöhr,Hannes Stöhr,Nominiert für den deutschen und europäischen Civis Fernsehpreis 2004
570,Gefährliches Schweigen,SWR,2004-07-18,Odenthal und Kopper,32,"Martin Eigler, Annette Bassfeld-Schepers",Martin Eigler,
571,Bienzle und der steinerne Gast,SWR,2004-07-25,Bienzle,19,Felix Huby,Hartmut Griesmayr,
572,Der Wächter der Quelle,ORF,2004-08-08,Eisner,11,"Felix Mitterer, Holger Barthel",Holger Barthel,
573,Verraten und verkauft,WDR,2004-09-19,Ballauf und Schenk,29,"Peter Goslicki, Mario Giordano",Peter F. Bringmann,
574,Stirb und werde,NDR,2004-10-10,Borowski und Jung,3,Orkun Ertener,Claudia Garde,
575,Herzversagen,HR,2004-10-17,Dellwo und Sänger,5,"Thomas Freundner, Stephan Falk",Thomas Freundner,"Adolf-Grimme-Preis, Deutscher Fernsehkrimipreis, nominiert für den Deutschen Fernsehpreis 2005"
576,Märchenwald,NDR,2004-10-24,Lindholm,5,"Martina Mouchot, Mitarbeit Orkun Ertener",Christiane Balthasar,
577,Teufelskreis,MDR,2004-10-31,Ehrlicher und Kain,35,"Fred Breinersdorfer, Hans-Werner Honert",Hans-Werner Honert,
578,Nicht jugendfrei,BR,2004-11-07,Batic und Leitmayr,38,Gerlinde Wolf,Thomas Jauch,
579,Teufel im Leib,SR,2004-11-14,Palu,17,"Jochen Senf, Hans-Christoph Blumenberg",Hans-Christoph Blumenberg,Kurzauftritt des damaligen saarländischen Ministerpräsidenten Peter Müller
580,Verlorene Töchter,NDR,2004-11-21,Casstorff und Holicek,8,"Elke Schuch, Marc Blöbaum",Daniel Helfer,
581,Abseits,MDR,2004-11-28,Ehrlicher und Kain,36,Horst Freund,Hajo Gies,
582,Eine Leiche zu viel,WDR,2004-12-05,Thiel und Boerne,6,"Dorothee Schön, Georg Schott",Kaspar Heidelbach,
583,Vorstadtballade,BR,2004-12-12,Batic und Leitmayr,39,Robert Hültner,Martin Enlen,
584,Bienzle und der Feuerteufel,SWR,2005-01-02,Bienzle,20,"Felix Huby, Dieter de Lazzer",Arend Agthe,
585,Die Spieler,SWR,2005-01-09,Blum und Perlmann,6,Fred Breinersdorfer,Michael Verhoeven,
586,Dunkle Wege,NDR,2005-01-16,Lindholm,6,"Thorsten Näter, Susanne Schneider",Christiane Balthasar,
587,Ein Glücksgefühl,NDR,2005-01-30,Casstorff und Holicek,9,Markus Busch,Filippos Tsitos,
588,Feuertaufe,MDR,2005-02-06,Ehrlicher und Kain,37,Andreas Pflüger,Hannu Salonen,
589,Schürfwunden,WDR,2005-02-13,Ballauf und Schenk,30,"Frank Posiadly, Nikolaus Stein von Kamienski",Nikolaus Stein von Kamienski,
590,Der Name der Orchidee,SWR,2005-03-06,Blum und Perlmann,7,Dorothee Schön,Jürgen Bretzinger,
591,Todesbrücke,RBB,2005-03-13,Ritter und Stark,18,Frauke Hunfeld,Christine Hartmann,
592,Schattenhochzeit,NDR,2005-03-20,Borowski und Jung,4,Karl-Heinz Käfer,Kaspar Heidelbach,
593,Letzte Zweifel,SWR,2005-03-28,Odenthal und Kopper,33,Jochen Bitzer,Christoph Stark,
594,Der Frauenflüsterer,WDR,2005-04-03,Thiel und Boerne,7,"Jan Hinter, Stefan Cantz",Kaspar Heidelbach,
595,Wo ist Max Gravert?,HR,2005-04-17,Dellwo und Sänger,6,Lars Kraume,Lars Kraume,Publikumspreis beim Deutschen Fernsehkrimipreis 2006
596,Am Abgrund,SWR,2005-04-24,Odenthal und Kopper,34,Richard Reitzinger,René Heisig,
597,Minenspiel,WDR,2005-05-08,Ballauf und Schenk,31,Karl-Heinz Käfer,Torsten C. Fischer,Marler Medienpreis Menschenrechte 2007
598,Nur ein Spiel,BR,2005-05-22,Batic und Leitmayr,40,"Peter Zingler, Ulli Stephan",Manuel Siebenmann,
599,Die schlafende Schöne,ORF,2005-05-29,Eisner,12,Dieter Berner,Dieter Berner,
600,Scheherazade,Radio Bremen,2005-06-05,Lürsen und Stedefreund,12,Christian Jeltsch,"Peter Henning, Claudia Prietzel",Deutscher Fernsehpreis 2005 (Beste Kamera) und Deutscher Kamerapreis (Fernsehspiel) an Ngo The Chau
601,Tiefer Fall,MDR,2005-06-12,Ehrlicher und Kain,38,Pim Richter,Thomas Freundner,
602,Todesengel,Radio Bremen,2005-07-10,Lürsen und Stedefreund,13,Thorsten Näter,Thorsten Näter,
603,Bienzle und der Sizilianer,SWR,2005-07-24,Bienzle,21,"Felix Huby, Zoram Solomun",Hartmut Griesmayr,
604,Der Teufel vom Berg,ORF,2005-08-07,Eisner,13,Felix Mitterer,Thomas Roth,Erstausstrahlung am 19. Dezember 2004 auf ORF 2. Erst nach der Erstausstrahlung zum Tatort umgewidmet.[16]
605,Erfroren,WDR,2005-08-21,Ballauf und Schenk,32,"Stephan Brüggenthies, Patrick Gurris",Züli Aladağ,
606,Ohne Beweise,SWR,2005-08-28,Odenthal und Kopper,35,Martin Pristl,Jürgen Bretzinger,
607,Requiem,Radio Bremen,2005-09-25,Lürsen und Stedefreund,14,Thorsten Näter,Thorsten Näter,
608,Borowski in der Unterwelt,NDR,2005-10-02,Borowski und Jung,5,Sascha Arango,Claudia Garde,
609,Leerstand,HR,2005-10-09,Dellwo und Sänger,7,Nikolaus Stein von Kamienski,Nikolaus Stein von Kamienski,
610,Leiden wie ein Tier,RBB,2005-10-16,Ritter und Stark,19,"Scarlett Kleint, Ilse Biberti",Uwe Janson,
611,Atemnot,NDR,2005-10-23,Lindholm,7,"Thorsten Näter, Verena Mahlow",Thomas Jauch,
612,Freischwimmer,MDR,2005-10-30,Ehrlicher und Kain,39,"Mario Giordano, Andreas Schlüter",Helmut Metzger,
613,Tod auf der Walz,BR,2005-11-06,Batic und Leitmayr,41,Markus Fenner,Martin Enlen,
614,Rache-Engel,SR,2005-11-13,Palu,18,"Jochen Senf, Andreas Föhr, Thomas Letocha",Robert Sigl,Letzter Fall dieses Ermittlerteams
615,Der doppelte Lott,WDR,2005-11-20,Thiel und Boerne (Gastauftritt Ballauf und Schenk),8,"Jan Hinter, Stefan Cantz",Manfred Stelzer,
616,Im Alleingang,NDR,2005-11-27,Casstorff und Holicek,10,Rainer Butt,Richard Huber,
617,Schneetreiben,BR,2005-12-18,Batic und Leitmayr,42,Claus Cornelius Fischer,Tobias Ineichen,Deutscher Fernsehpreis 2006 (Beste Musik) an Fabian Römer
618,Das Lächeln der Madonna,SWR,2005-12-25,Blum und Perlmann,8,Kai-Uwe Hasenheit,Christoph Stark,
619,Sonnenfinsternis,MDR,2006-01-01,Ehrlicher und Kain,40,Andreas Pflüger,Dieter Berner,
620,Blutdiamanten,WDR,2006-01-15,Ballauf und Schenk,33,"Sönke Lars Neuwöhner, Sven Poser",Martin Eigler,
621,Schwarzes Herz,NDR,2006-01-22,Lindholm,8,Fabian Thaesler,Thomas Jauch,
622,Das ewig Böse,WDR,2006-02-05,Thiel und Boerne,9,Rainer Matsutani,Rainer Matsutani,
623,Unter Kontrolle,SWR,2006-03-05,Odenthal und Kopper,36,Stefan Rogall,René Heisig,
624,Feuerkämpfer,NDR,2006-03-12,Casstorff und Holicek,11,Thomas Bohn,Thomas Bohn,
625,Pechmarie,WDR,2006-03-19,Ballauf und Schenk,34,"Stefan Cantz, Jan Hinter",Hendrik Handloegten,
626,Der schwedische Freund,SWR,2006-03-26,Blum und Perlmann,9,W. Anders,Uli Möller,"Fred Breinersdorfer schrieb das Drehbuch, war aber mit dem Resultat nicht zufrieden, und zog seinen Namen zurück."
627,Sternenkinder,NDR,2006-04-02,Borowski und Jung,6,Orkun Ertener,Hannu Salonen,
628,Kunstfehler,RBB,2006-04-17,Ritter und Stark,20,Pim Richter,Hartmut Griesmayr,
629,Revanche,SWR,2006-04-23,Odenthal und Kopper,37,"Stefan Rogall, Klaus-Peter Wolf (Idee)",Johannes Grieser,
630,Außer Gefecht,BR,2006-05-07,Batic und Leitmayr,43,Christian Jeltsch,Friedemann Fromm,Erste Folge in Echtzeit. Nominiert für den Adolf-Grimme-Preis 2007; Bayerischer Fernsehpreis 2007 (Regie) an Friedemann Fromm
631,Tödliches Vertrauen,ORF,2006-05-14,Eisner,14,Thomas Baum,Holger Barthel,
632,Stille Tage,Radio Bremen/WDR,2006-05-21,Lürsen und Stedefreund,15,Jochen Greve,Thomas Jauch,
633,Bienzle und der Tod in der Markthalle,SWR,2006-05-28,Bienzle und Gächter,22,Felix Huby,Arend Agthe,
634,Blutschrift,MDR,2006-06-05,Ehrlicher und Kain,41,Holger Jancke,Hajo Gies,
635,Tod aus Afrika,ORF,2006-07-02,Eisner,15,Felix Mitterer,Andreas Prochaska,
636,Gebrochene Herzen,SWR,2006-07-23,Blum und Perlmann,10,Dorothee Schön,Jürgen Bretzinger,
637,Schattenspiele,NDR,2006-08-20,Casstorff und Holicek,12,"Christoph Silber, Thorsten Wettcke",Claudia Garde,
638,Der Lippenstiftmörder,SWR,2006-08-27,Odenthal und Kopper,38,Christoph Darnstädt,Andreas Senn,
639,Mann über Bord,NDR,2006-09-10,Borowski und Jung,7,Dorothee Schön,Lars Becker,
640,Pauline,NDR,2006-09-24,Lindholm,9,Martina Mouchot,Nikolaus Stein von Kamienski,Deutscher Fernsehpreis 2007 (Beste Schauspielerin) an Maria Furtwängler
641,Bienzle und der Tod im Weinberg,SWR,2006-10-01,Bienzle und Gächter,23,"Felix Huby, Dieter de Lazzer",Jochen Nitsch,Goldene Romy für das Beste Drehbuch
642,Nachtwanderer,SWR,2006-10-08,Odenthal und Kopper,39,Isolde Sammer,Johannes Grieser,
643,Aus der Traum…,SR,2006-10-15,Kappl und Deininger,1,"Fred Breinersdorfer, Léonie-Claire Breinersdorfer",Rolf Schübel,
644,Das letzte Rennen,HR,2006-10-29,Dellwo und Sänger,8,"Judith Angerbauer, Lars Kraume",Edward Berger,Hessischer Fernsehpreis an Andrea Sawatzki und Jörg Schüttauf
645,Liebe am Nachmittag,WDR,2006-11-05,Ballauf und Schenk,35,Norbert Ehry,Manuel Flurin Hendry,
646,Das zweite Gesicht,WDR,2006-11-12,Thiel und Boerne,10,"Matthias Seelig, Claudia Falk",Tim Trageser,
647,Liebe macht blind,RBB,2006-11-19,Ritter und Stark,21,Stefan Rogall,Peter Fratzscher,
648,Das verlorene Kind,BR,2006-11-26,Batic und Leitmayr,44,Jobst Oetzmann,Jobst Oetzmann,
649,Der Tag des Jägers,HR,2006-12-03,Dellwo und Sänger,9,Nikolaus Stein von Kamienski,Nikolaus Stein von Kamienski,
650,Schlaflos in Weimar,MDR,2006-12-17,Ehrlicher und Kain,42,Andreas Pflüger,Uwe Janson,Team ermittelt größtenteils in Weimar
651,Die Blume des Bösen,WDR,2007-01-01,Ballauf und Schenk,36,Thomas Stiller,Thomas Stiller,
652,Bienzle und die große Liebe,SWR,2007-01-07,Bienzle,24,Felix Huby,Hartmut Griesmayr,Gastauftritt des damaligen SWR-Intendanten Peter Voß als Polizeipräsident
653,Schwelbrand,Radio Bremen,2007-01-21,Lürsen und Stedefreund,16,Thorsten Näter,Thorsten Näter,
654,Roter Tod,SWR,2007-01-28,Odenthal und Kopper,40,Horst Freund,Christoph Stark,
655,Das Ende des Schweigens,NDR,2007-02-11,Borowski und Jung,8,Jörg von Schlebrügge,Buddy Giovinazzo,
656,Der Tote vom Straßenrand,SR,2007-02-18,Kappl und Deininger,2,"Fred, Léonie-Claire Breinersdorfer",Rolf Schübel,
657,Bienzle und sein schwerster Fall,SWR,2007-02-25,Bienzle,25,Felix Huby,Hartmut Griesmayr,Letzter Fall dieses Ermittlers
658,Liebeshunger,NDR,2007-03-11,Casstorff und Holicek,13,Rafael Sola Ferrer,Thomas Bohn,
659,Ruhe sanft!,WDR,2007-03-18,Thiel und Boerne,11,"Stefan Cantz, Jan Hinter",Manfred Stelzer,
660,Dornröschens Rache,RBB,2007-03-25,Ritter und Stark,22,Frauke Hunfeld,Christine Hartmann,
661,Die Anwältin,MDR,2007-04-01,Ehrlicher und Kain,43,"Raimund Weber, Fred Breinersdorfer",Dieter Berner,
662,Engel der Nacht,SWR,2007-04-09,Blum und Perlmann,11,Susanne Schneider,Thomas Jahn,
663,Das namenlose Mädchen,NDR,2007-04-15,Lindholm,10,"Khyana el Bitar, Matthias Keilich",Michael Gutmann,Lindholm ermittelt in Osnabrück; Deutscher Fernsehpreis 2007 (Beste Schauspielerin) an Maria Furtwängler
664,Der Finger,BR,2007-04-29,Batic und Leitmayr,45,Carolin Otto,Peter Fratzscher,
665,Die dunkle Seite,SWR,2007-05-06,Odenthal und Kopper,41,"Xaõ Seffcheque (Buch), Jürgen Starbatty (Buch), Thomas Freundner (Drehfassung)",Thomas Freundner,
666,Familiensache,ORF,2007-05-20,Eisner,16,Thomas Roth,Thomas Roth,
667,Racheengel,MDR,2007-05-28,Ehrlicher und Kain,44,Mario Giordano,Hannu Salonen,
668,Investigativ,NDR,2007-06-10,Casstorff und Holicek,14,"Christoph Silber, Thorsten Wettcke",Claudia Garde,
669,Tödliche Habgier,ORF,2007-06-24,Eisner,17,Felix Mitterer,Wolfgang Murnberger,
670,Sterben für die Erben,SWR,2007-07-01,Odenthal und Kopper,42,Dorothee Schön,Lars Montag,
671,Strahlende Zukunft,Radio Bremen,2007-08-26,Lürsen und Stedefreund,17,Christian Jeltsch,Mark Schlichter,
672,Blutsbande,SWR,2007-09-09,Blum und Perlmann,12,Susanne Schneider,Jürgen Bretzinger,
673,Macht der Angst,NDR,2007-09-16,Borowski und Jung,9,"Joachim Scherf, Thomas Kirchner (Idee)",Florian Baxmeyer,
674,A gmahde Wiesn,BR,2007-09-23,Batic und Leitmayr,46,Friedrich Ani,Martin Enlen,
675,Nachtgeflüster,WDR,2007-10-07,Ballauf und Schenk,37,"Stefan Cantz, Jan Hinter",Torsten C. Fischer,
676,Unter uns,HR,2007-10-14,Dellwo und Sänger,10,Katrin Bühlig,Margarethe von Trotta,Nominiert für den Adolf-Grimme-Preis 2008
677,Der Traum von der Au,BR,2007-10-21,Batic und Leitmayr,47,Peter Probst,Tim Trageser,Letzter Fall mit Assistent Menzinger
678,Satisfaktion,WDR,2007-10-28,Thiel und Boerne,12,Johannes W. Betz,Manuel Flurin Hendry,
679,Die Falle,MDR,2007-11-11,Ehrlicher und Kain,45,Hans-Werner Honert,Hajo Gies,Letzter Fall dieses Ermittlerteams; am Ende wird Ehrlicher pensioniert und Kain kündigt.
680,Bevor es dunkel wird,HR,2007-11-25,Dellwo und Sänger,11,Henriette Piper,Martin Enlen,Günter-Strack-Fernsehpreis 2008 an Karoline Schuch
681,Spätschicht,WDR,2007-12-02,Ballauf und Schenk,38,Thorsten Näter,Thorsten Näter,
682,Schleichendes Gift,RBB,2007-12-09,Ritter und Stark,23,Thomas Kirchner,Uwe Janson,
683,Kleine Herzen,BR,2007-12-16,Batic und Leitmayr,48,Stefanie Kremser,Filippos Tsitos,Nominiert für den Adolf-Grimme-Preis 2008; Nachwuchsförderpreis beim Bayerischen Fernsehpreis an Janina Stopper
684,Wem Ehre gebührt,NDR,2007-12-23,Lindholm,11,Angelina Maccarone,Angelina Maccarone,Folge wird nicht wiederholt: Nach der Ausstrahlung kam es zu Protestaktionen der Aleviten in Deutschland[1]
685,Fettkiller,SWR,2007-12-30,Odenthal und Kopper,43,"Andreas Schlüter, Mario Giordano",Ute Wieland,
686,Der Kormorankrieg,SWR,2008-01-06,Blum und Perlmann,13,"Matthias Dinter, Xaõ Seffcheque",Jürgen Bretzinger,
687,Verdammt,WDR,2008-01-27,Ballauf und Schenk,39,Jürgen Werner,Maris Pfeiffer,
688,Borowski und das Mädchen im Moor,NDR,2008-02-17,Borowski,10,Sascha Arango,Claudia Garde,
689,Und Tschüss,NDR,2008-02-24,Casstorff und Holicek,15,Thomas Bohn,Thomas Bohn,Letzter Fall dieses Ermittlers
690,Hart an der Grenze,SWR,2008-03-09,Lannert und Bootz,1,Holger Karsten Schmidt,Elmar Fischer,
